,W1,W2,W3,Epsilon,l
qapsatE35_1,0.024741,0.812353,0.162906,9.493634,10.087791
qapsatE35_1_dual,0.024741,0.812353,0.162906,9.493634,10.087791
qapsatE40_1,0.029702,0.869571,0.100727,10.507628,10.949479
qapsatE40_1_dual,0.029702,0.869571,0.100727,10.507628,10.949479
qapsatE45_1,0.029237,0.877235,0.093527,11.780554,12.248111
qapsatE45_1_dual,0.029237,0.877235,0.093527,11.780554,12.248111
qapsatE50_1,0.027858,0.848705,0.123437,13.296319,13.974275
qapsatE50_1_dual,0.027858,0.848705,0.123437,13.296319,13.974275
qapsatE55_1,0.032751,0.885372,0.081878,14.316567,14.826691
qapsatE55_1_dual,0.032751,0.885372,0.081878,14.316567,14.826691
qapsatE60_1,0.033423,0.886483,0.080093,15.605516,16.152997
qapsatE60_1_dual,0.033423,0.886483,0.080093,15.605516,16.152997
qapsatE65_1,0.0349,0.866243,0.098857,17.071312,17.798267
qapsatE65_1_dual,0.0349,0.866243,0.098857,17.071312,17.798267
qapsatE70_1,0.034854,0.888636,0.076511,18.176074,18.79197
qapsatE70_1_dual,0.034854,0.888636,0.076511,18.176074,18.79197
qapsatE75_1,0.036395,0.896149,0.067456,19.385459,19.971966
qapsatE75_1_dual,0.036395,0.896149,0.067456,19.385459,19.971966
qapsatE80_1,0.035507,0.904099,0.060394,20.605079,21.168816
qapsatE80_1_dual,0.035507,0.904099,0.060394,20.605079,21.168816
qapsatE85_1,0.034292,0.894796,0.070912,22.012186,22.712849
qapsatE85_1_dual,0.034292,0.894796,0.070912,22.012186,22.712849
qapsatE90_1,0.040518,0.927855,0.031627,22.846822,23.185655
qapsatE90_1_dual,0.040518,0.927855,0.031627,22.846822,23.185655
qapsatE95_1,0.039504,0.914937,0.045559,24.287154,24.799366
qapsatE95_1_dual,0.039504,0.914937,0.045559,24.287154,24.799366
qapsatH100_1,0.040373,0.922107,0.037519,25.46246,25.909134
qapsatH100_1_dual,0.040373,0.922107,0.037519,25.46246,25.909134
qapsatH105_1,0.03892,0.92336,0.037719,26.739443,27.211546
qapsatH105_1_dual,0.03892,0.92336,0.037719,26.739443,27.211546
qapsatH110_1,0.040817,0.922927,0.036256,27.992308,28.46871
qapsatH110_1_dual,0.040817,0.922927,0.036256,27.992308,28.46871
qapsatH115_1,0.041094,0.926411,0.032495,29.209896,29.657711
qapsatH115_1_dual,0.041094,0.926411,0.032495,29.209896,29.657711
qapsatH120_1,0.040395,0.917094,0.042511,30.635291,31.243965
qapsatH120_1_dual,0.040395,0.917094,0.042511,30.635291,31.243965
qapsatH25_1,0.018433,0.777954,0.203613,6.919813,7.416165
qapsatH25_1_dual,0.018433,0.777954,0.203613,6.919813,7.416165
qapsatH30_1,0.024359,0.858601,0.11704,7.942074,8.313193
qapsatH30_1_dual,0.024359,0.858601,0.11704,7.942074,8.313193
qapsatH35_1,0.02767,0.813082,0.159248,9.474498,10.056878
qapsatH35_1_dual,0.02767,0.813082,0.159248,9.474498,10.056878
qapsatH40_1,0.024375,0.864072,0.111552,10.567708,11.053654
qapsatH40_1_dual,0.024375,0.864072,0.111552,10.567708,11.053654
qapsatH45_1,0.024013,0.881658,0.094329,11.786855,12.258035
qapsatH45_1_dual,0.024013,0.881658,0.094329,11.786855,12.258035
qapsatH50_1,0.029618,0.881581,0.0888,13.060142,13.558196
qapsatH50_1_dual,0.029618,0.881581,0.0888,13.060142,13.558196
qapsatH55_1,0.031399,0.877158,0.091443,14.387258,14.953767
qapsatH55_1_dual,0.031399,0.877158,0.091443,14.387258,14.953767
qapsatH60_1,0.028759,0.903256,0.067985,15.510751,15.978591
qapsatH60_1_dual,0.028759,0.903256,0.067985,15.510751,15.978591
qapsatH65_1,0.033341,0.886025,0.080634,16.91239,17.511646
qapsatH65_1_dual,0.033341,0.886025,0.080634,16.91239,17.511646
qapsatH70_1,0.034939,0.874531,0.09053,18.307405,19.030275
qapsatH70_1_dual,0.034939,0.874531,0.09053,18.307405,19.030275
qapsatH75_1,0.036267,0.899612,0.064121,19.352584,19.91114
qapsatH75_1_dual,0.036267,0.899612,0.064121,19.352584,19.91114
qapsatH80_1,0.036191,0.894928,0.068881,20.694222,21.33414
qapsatH80_1_dual,0.036191,0.894928,0.068881,20.694222,21.33414
qapsatH85_1,0.033928,0.911504,0.054567,21.829686,22.373789
qapsatH85_1_dual,0.033928,0.911504,0.054567,21.829686,22.373789
qapsatH90_1,0.040264,0.933822,0.025913,22.78155,23.060028
qapsatH90_1_dual,0.040264,0.933822,0.025913,22.78155,23.060028
qapsatH95_1,0.039502,0.918363,0.042134,24.245153,24.719746
qapsatH95_1_dual,0.039502,0.918363,0.042134,24.245153,24.719746
recomb80_Ddrez_Fpalu_1,0.317562,0.045294,0.637144,29.007358,32.344922
recomb80_Ddrez_Fpalu_1_dual,0.317562,0.045294,0.637144,29.007358,32.344922
recomb80_Ddrez_Fpalu_2,0.360792,0.072623,0.566586,27.59153,30.958223
recomb80_Ddrez_Fpalu_2_dual,0.360792,0.072623,0.566586,27.59153,30.958223
recomb80_Ddrez_Fpalu_3,0.368892,0.052904,0.578205,27.807643,31.182767
recomb80_Ddrez_Fpalu_3_dual,0.368892,0.052904,0.578205,27.807643,31.182767
recomb80_Ddrez_Fpalu_4,0.335046,0.044479,0.620475,28.656137,32.015496
recomb80_Ddrez_Fpalu_4_dual,0.335046,0.044479,0.620475,28.656137,32.015496
recomb80_Ddrez_Fpalu_5,0.355284,0.08973,0.554986,27.377885,30.733415
recomb80_Ddrez_Fpalu_5_dual,0.355284,0.08973,0.554986,27.377885,30.733415
recomb80_Ddrez_Frand_1,0.417731,0.561344,0.020925,20.101358,20.303606
recomb80_Ddrez_Frand_1_dual,0.417731,0.561344,0.020925,20.101358,20.303606
recomb80_Ddrez_Frand_2,0.416733,0.561069,0.022198,20.114317,20.328676
recomb80_Ddrez_Frand_2_dual,0.416733,0.561069,0.022198,20.114317,20.328676
recomb80_Ddrez_Frand_3,0.394344,0.585259,0.020397,20.102068,20.299148
recomb80_Ddrez_Frand_3_dual,0.394344,0.585259,0.020397,20.102068,20.299148
recomb80_Ddrez_Frand_4,0.426074,0.555455,0.018471,20.074786,20.25367
recomb80_Ddrez_Frand_4_dual,0.426074,0.555455,0.018471,20.074786,20.25367
recomb80_Ddrez_Frand_5,0.426368,0.553118,0.020513,20.095044,20.293416
recomb80_Ddrez_Frand_5_dual,0.426368,0.553118,0.020513,20.095044,20.293416
recomb80_Ddrez_Fstrp_1,0.215335,0.746859,0.037806,20.323919,20.683377
recomb80_Ddrez_Fstrp_1_dual,0.215335,0.746859,0.037806,20.323919,20.683377
recomb80_Ddrez_Fstrp_2,0.355506,0.604345,0.040148,20.311168,20.694018
recomb80_Ddrez_Fstrp_2_dual,0.355506,0.604345,0.040148,20.311168,20.694018
recomb80_Ddrez_Fstrp_3,0.267952,0.696821,0.035227,20.283949,20.619936
recomb80_Ddrez_Fstrp_3_dual,0.267952,0.696821,0.035227,20.283949,20.619936
recomb80_Ddrez_Fstrp_4,0.327155,0.653003,0.019842,20.113725,20.305126
recomb80_Ddrez_Fstrp_4_dual,0.327155,0.653003,0.019842,20.113725,20.305126
recomb80_Ddrez_Fstrp_5,0.266174,0.718917,0.014909,20.080139,20.224187
recomb80_Ddrez_Fstrp_5_dual,0.266174,0.718917,0.014909,20.080139,20.224187
recomb80_Dmanh_Fpalu_1,0.0,0.963645,0.036355,20.365511,20.708927
recomb80_Dmanh_Fpalu_1_dual,0.0,0.963645,0.036355,20.365511,20.708927
recomb80_Dmanh_Fpalu_2,0.0,0.963621,0.036379,20.365752,20.709387
recomb80_Dmanh_Fpalu_2_dual,0.0,0.963621,0.036379,20.365752,20.709387
recomb80_Dmanh_Fpalu_3,0.0,0.974016,0.025984,20.259886,20.50669
recomb80_Dmanh_Fpalu_3_dual,0.0,0.974016,0.025984,20.259886,20.50669
recomb80_Dmanh_Fpalu_4,0.0,0.970471,0.029529,20.295864,20.575812
recomb80_Dmanh_Fpalu_4_dual,0.0,0.970471,0.029529,20.295864,20.575812
recomb80_Dmanh_Fpalu_5,0.0,0.957407,0.042593,20.429575,20.83057
recomb80_Dmanh_Fpalu_5_dual,0.0,0.957407,0.042593,20.429575,20.83057
recomb81_Deucl_Fhypr_1,0.0,0.950121,0.049879,20.761304,21.235109
recomb81_Deucl_Fhypr_1_dual,0.0,0.950121,0.049879,20.761304,21.235109
recomb81_Deucl_Fhypr_2,0.0,0.868601,0.131399,21.654939,22.845138
recomb81_Deucl_Fhypr_2_dual,0.0,0.868601,0.131399,21.654939,22.845138
recomb81_Deucl_Fhypr_3,0.0,0.949856,0.050144,20.764095,21.240354
recomb81_Deucl_Fhypr_3_dual,0.0,0.949856,0.050144,20.764095,21.240354
recomb81_Deucl_Fhypr_4,0.0,0.96577,0.03423,20.59813,20.926043
recomb81_Deucl_Fhypr_4_dual,0.0,0.96577,0.03423,20.59813,20.926043
recomb81_Deucl_Fhypr_5,0.0,0.953595,0.046405,20.724854,21.166492
recomb81_Deucl_Fhypr_5_dual,0.0,0.953595,0.046405,20.724854,21.166492
recomb81_Deucl_Fpalu_1,0.0,0.951039,0.048961,20.751666,21.216989
recomb81_Deucl_Fpalu_1_dual,0.0,0.951039,0.048961,20.751666,21.216989
recomb81_Deucl_Fpalu_2,0.0,0.969508,0.030492,20.559529,20.852211
recomb81_Deucl_Fpalu_2_dual,0.0,0.969508,0.030492,20.559529,20.852211
recomb81_Deucl_Fpalu_3,0.0,0.986435,0.013565,20.38654,20.517903
recomb81_Deucl_Fpalu_3_dual,0.0,0.986435,0.013565,20.38654,20.517903
recomb81_Deucl_Fpalu_4,0.0,0.962173,0.037827,20.635406,20.997077
recomb81_Deucl_Fpalu_4_dual,0.0,0.962173,0.037827,20.635406,20.997077
recomb81_Deucl_Fpalu_5,0.0,0.934131,0.065869,20.93073,21.55092
recomb81_Deucl_Fpalu_5_dual,0.0,0.934131,0.065869,20.93073,21.55092
recomb81_Deucl_Fterm_1,0.0,0.893395,0.106605,21.375106,22.355451
recomb81_Deucl_Fterm_1_dual,0.0,0.893395,0.106605,21.375106,22.355451
recomb81_Deucl_Fterm_2,0.0,0.891134,0.108866,21.400321,22.4001
recomb81_Deucl_Fterm_2_dual,0.0,0.891134,0.108866,21.400321,22.4001
recomb81_Deucl_Fterm_3,0.0,0.933908,0.066092,20.933112,21.555324
recomb81_Deucl_Fterm_3_dual,0.0,0.933908,0.066092,20.933112,21.555324
recomb81_Deucl_Fterm_4,0.0,0.756804,0.243196,23.013399,25.053113
recomb81_Deucl_Fterm_4_dual,0.0,0.756804,0.243196,23.013399,25.053113
recomb81_Deucl_Fterm_5,0.0,0.890042,0.109958,21.412519,22.421663
recomb81_Deucl_Fterm_5_dual,0.0,0.890042,0.109958,21.412519,22.421663
recomb81_Dhypr_Fpalu_1,0.057466,0.836971,0.105562,21.347319,22.320491
recomb81_Dhypr_Fpalu_1_dual,0.057466,0.836971,0.105562,21.347319,22.320491
recomb81_Dhypr_Fpalu_2,0.05916,0.831296,0.109544,21.39117,22.398698
recomb81_Dhypr_Fpalu_2_dual,0.05916,0.831296,0.109544,21.39117,22.398698
recomb81_Dhypr_Fpalu_3,0.063223,0.822563,0.114214,21.442254,22.489926
recomb81_Dhypr_Fpalu_3_dual,0.063223,0.822563,0.114214,21.442254,22.489926
recomb81_Dhypr_Fpalu_4,0.077441,0.770751,0.151807,21.867938,23.228832
recomb81_Dhypr_Fpalu_4_dual,0.077441,0.770751,0.151807,21.867938,23.228832
recomb81_Dhypr_Fpalu_5,0.050698,0.879583,0.06972,20.958187,21.614293
recomb81_Dhypr_Fpalu_5_dual,0.050698,0.879583,0.06972,20.958187,21.614293
recomb81_Dhypr_Frand_1,0.010184,0.966455,0.023361,20.483661,20.708833
recomb81_Dhypr_Frand_1_dual,0.010184,0.966455,0.023361,20.483661,20.708833
recomb81_Dhypr_Frand_2,0.010121,0.972352,0.017527,20.424165,20.593627
recomb81_Dhypr_Frand_2_dual,0.010121,0.972352,0.017527,20.424165,20.593627
recomb81_Dhypr_Frand_3,0.009383,0.966764,0.023853,20.488903,20.71875
recomb81_Dhypr_Frand_3_dual,0.009383,0.966764,0.023853,20.488903,20.71875
recomb81_Dhypr_Frand_4,0.009525,0.970367,0.020108,20.450608,20.644757
recomb81_Dhypr_Frand_4_dual,0.009525,0.970367,0.020108,20.450608,20.644757
recomb81_Dhypr_Frand_5,0.008347,0.969042,0.02261,20.476461,20.69447
recomb81_Dhypr_Frand_5_dual,0.008347,0.969042,0.02261,20.476461,20.69447
recomb81_Dhypr_Fstrp_1,0.004075,0.961278,0.034647,20.601382,20.933268
recomb81_Dhypr_Fstrp_1_dual,0.004075,0.961278,0.034647,20.601382,20.933268
recomb81_Dhypr_Fstrp_2,0.005269,0.975009,0.019722,20.44777,20.638195
recomb81_Dhypr_Fstrp_2_dual,0.005269,0.975009,0.019722,20.44777,20.638195
recomb81_Dhypr_Fstrp_3,0.005121,0.944324,0.050554,20.767041,21.247168
recomb81_Dhypr_Fstrp_3_dual,0.005121,0.944324,0.050554,20.767041,21.247168
recomb81_Dhypr_Fstrp_4,0.005351,0.937853,0.056797,20.83283,21.370397
recomb81_Dhypr_Fstrp_4_dual,0.005351,0.937853,0.056797,20.83283,21.370397
recomb81_Dhypr_Fstrp_5,0.005293,0.922585,0.072121,20.996288,21.673075
recomb81_Dhypr_Fstrp_5_dual,0.005293,0.922585,0.072121,20.996288,21.673075
recomb81_Dhypr_Fterm_1,0.0,0.993516,0.006484,20.31504,20.378063
recomb81_Dhypr_Fterm_1_dual,0.0,0.993516,0.006484,20.31504,20.378063
recomb81_Dhypr_Fterm_2,0.0,0.990983,0.009017,20.340563,20.428092
recomb81_Dhypr_Fterm_2_dual,0.0,0.990983,0.009017,20.340563,20.428092
recomb81_Dhypr_Fterm_3,0.0,0.991699,0.008301,20.333338,20.413944
recomb81_Dhypr_Fterm_3_dual,0.0,0.991699,0.008301,20.333338,20.413944
recomb81_Dhypr_Fterm_4,0.0,0.99272,0.00728,20.323054,20.393786
recomb81_Dhypr_Fterm_4_dual,0.0,0.99272,0.00728,20.323054,20.393786
recomb81_Dhypr_Fterm_5,0.0,0.992281,0.007719,20.327469,20.402442
recomb81_Dhypr_Fterm_5_dual,0.0,0.992281,0.007719,20.327469,20.402442
recomb81_Dpalu_Fhypr_1,0.0,0.95977,0.04023,20.660385,21.044535
recomb81_Dpalu_Fhypr_1_dual,0.0,0.95977,0.04023,20.660385,21.044535
recomb81_Dpalu_Fhypr_2,0.0,0.95813,0.04187,20.677477,21.076942
recomb81_Dpalu_Fhypr_2_dual,0.0,0.95813,0.04187,20.677477,21.076942
recomb81_Dpalu_Fhypr_3,0.0,0.962594,0.037406,20.631037,20.988765
recomb81_Dpalu_Fhypr_3_dual,0.0,0.962594,0.037406,20.631037,20.988765
recomb81_Dpalu_Fhypr_4,0.0,0.953249,0.046751,20.72848,21.173328
recomb81_Dpalu_Fhypr_4_dual,0.0,0.953249,0.046751,20.72848,21.173328
recomb81_Dpalu_Fhypr_5,0.0,0.967145,0.032855,20.583919,20.898893
recomb81_Dpalu_Fhypr_5_dual,0.0,0.967145,0.032855,20.583919,20.898893
recomb81_Dpalu_Frand_1,0.0,0.832125,0.167875,22.080191,23.565534
recomb81_Dpalu_Frand_1_dual,0.0,0.832125,0.167875,22.080191,23.565534
recomb81_Dpalu_Frand_2,0.0,0.799881,0.200119,22.470257,24.202348
recomb81_Dpalu_Frand_2_dual,0.0,0.799881,0.200119,22.470257,24.202348
recomb81_Dpalu_Frand_3,0.0,0.804942,0.195058,22.408122,24.102393
recomb81_Dpalu_Frand_3_dual,0.0,0.804942,0.195058,22.408122,24.102393
recomb81_Dpalu_Frand_4,0.0,0.802829,0.197171,22.434021,24.144123
recomb81_Dpalu_Frand_4_dual,0.0,0.802829,0.197171,22.434021,24.144123
recomb81_Dpalu_Frand_5,0.0,0.75788,0.24212,22.999516,25.031868
recomb81_Dpalu_Frand_5_dual,0.0,0.75788,0.24212,22.999516,25.031868
recomb81_Dpalu_Fstrp_1,0.0,0.641134,0.358866,24.61079,27.337607
recomb81_Dpalu_Fstrp_1_dual,0.0,0.641134,0.358866,24.61079,27.337607
recomb81_Dpalu_Fstrp_2,0.0,0.762071,0.237929,22.945594,24.949105
recomb81_Dpalu_Fstrp_2_dual,0.0,0.762071,0.237929,22.945594,24.949105
recomb81_Dpalu_Fstrp_3,0.0,0.606508,0.393492,25.133006,28.021464
recomb81_Dpalu_Fstrp_3_dual,0.0,0.606508,0.393492,25.133006,28.021464
recomb81_Dpalu_Fstrp_4,0.0,0.770987,0.229013,22.831699,24.773008
recomb81_Dpalu_Fstrp_4_dual,0.0,0.770987,0.229013,22.831699,24.773008
recomb81_Dpalu_Fstrp_5,0.0,0.708533,0.291467,23.654104,26.00647
recomb81_Dpalu_Fstrp_5_dual,0.0,0.708533,0.291467,23.654104,26.00647
recomb81_Dpalu_Fterm_1,0.0,0.909089,0.090911,21.201688,22.045494
recomb81_Dpalu_Fterm_1_dual,0.0,0.909089,0.090911,21.201688,22.045494
recomb81_Dpalu_Fterm_2,0.0,0.862438,0.137562,21.725633,22.966852
recomb81_Dpalu_Fterm_2_dual,0.0,0.862438,0.137562,21.725633,22.966852
recomb81_Dpalu_Fterm_3,0.0,0.900361,0.099639,21.297778,22.217864
recomb81_Dpalu_Fterm_3_dual,0.0,0.900361,0.099639,21.297778,22.217864
recomb81_Dpalu_Fterm_4,0.0,0.891756,0.108244,21.393376,22.387814
recomb81_Dpalu_Fterm_4_dual,0.0,0.891756,0.108244,21.393376,22.387814
recomb81_Dpalu_Fterm_5,0.0,0.912959,0.087041,21.159353,21.969056
recomb81_Dpalu_Fterm_5_dual,0.0,0.912959,0.087041,21.159353,21.969056
recomb81_Drand_Fhypr_1,0.006849,0.988108,0.005043,20.298805,20.347885
recomb81_Drand_Fhypr_1_dual,0.006849,0.988108,0.005043,20.298805,20.347885
recomb81_Drand_Fhypr_2,0.006277,0.988057,0.005666,20.305211,20.360332
recomb81_Drand_Fhypr_2_dual,0.006277,0.988057,0.005666,20.305211,20.360332
recomb81_Drand_Fhypr_3,0.006864,0.986703,0.006434,20.312783,20.375348
recomb81_Drand_Fhypr_3_dual,0.006864,0.986703,0.006434,20.312783,20.375348
recomb81_Drand_Fhypr_4,0.006959,0.989301,0.00374,20.285693,20.322119
recomb81_Drand_Fhypr_4_dual,0.006959,0.989301,0.00374,20.285693,20.322119
recomb81_Drand_Fhypr_5,0.006634,0.986582,0.006784,20.316371,20.382334
recomb81_Drand_Fhypr_5_dual,0.006634,0.986582,0.006784,20.316371,20.382334
recomb81_Drand_Fpalu_1,0.400555,0.047107,0.552339,27.652987,31.058548
recomb81_Drand_Fpalu_1_dual,0.400555,0.047107,0.552339,27.652987,31.058548
recomb81_Drand_Fpalu_2,0.303677,0.034661,0.661663,29.906953,33.241916
recomb81_Drand_Fpalu_2_dual,0.303677,0.034661,0.661663,29.906953,33.241916
recomb81_Drand_Fpalu_3,0.331529,0.037068,0.631404,29.246584,32.63734
recomb81_Drand_Fpalu_3_dual,0.331529,0.037068,0.631404,29.246584,32.63734
recomb81_Drand_Fpalu_4,0.385275,0.026774,0.587951,28.340899,31.765715
recomb81_Drand_Fpalu_4_dual,0.385275,0.026774,0.587951,28.340899,31.765715
recomb81_Drand_Fpalu_5,0.334348,0.048879,0.616773,28.943136,32.347677
recomb81_Drand_Fpalu_5_dual,0.334348,0.048879,0.616773,28.943136,32.347677
recomb81_Drand_Fstrp_1,0.417595,0.559376,0.023028,20.375315,20.600411
recomb81_Drand_Fstrp_1_dual,0.417595,0.559376,0.023028,20.375315,20.600411
recomb81_Drand_Fstrp_2,0.29626,0.625896,0.077844,20.978639,21.713363
recomb81_Drand_Fstrp_2_dual,0.29626,0.625896,0.077844,20.978639,21.713363
recomb81_Drand_Fstrp_3,0.428404,0.541931,0.029665,20.439928,20.728781
recomb81_Drand_Fstrp_3_dual,0.428404,0.541931,0.029665,20.439928,20.728781
recomb81_Drand_Fstrp_4,0.386045,0.583744,0.030211,20.456423,20.750146
recomb81_Drand_Fstrp_4_dual,0.386045,0.583744,0.030211,20.456423,20.750146
recomb81_Drand_Fstrp_5,0.312738,0.638578,0.048683,20.665967,21.13331
recomb81_Drand_Fstrp_5_dual,0.312738,0.638578,0.048683,20.665967,21.13331
recomb81_Drand_Fterm_1,0.0,0.986769,0.013231,20.383158,20.51131
recomb81_Drand_Fterm_1_dual,0.0,0.986769,0.013231,20.383158,20.51131
recomb81_Drand_Fterm_2,0.0,0.993122,0.006878,20.319005,20.385843
recomb81_Drand_Fterm_2_dual,0.0,0.993122,0.006878,20.319005,20.385843
recomb81_Drand_Fterm_3,0.0,0.988852,0.011148,20.362083,20.47018
recomb81_Drand_Fterm_3_dual,0.0,0.988852,0.011148,20.362083,20.47018
recomb81_Drand_Fterm_4,0.0,0.989501,0.010499,20.355525,20.457365
recomb81_Drand_Fterm_4_dual,0.0,0.989501,0.010499,20.355525,20.457365
recomb81_Drand_Fterm_5,0.0,0.991616,0.008384,20.334179,20.415592
recomb81_Drand_Fterm_5_dual,0.0,0.991616,0.008384,20.334179,20.415592
recomb81_Dterm_Fhypr_1,0.0,0.999951,4.9e-05,20.250489,20.250966
recomb81_Dterm_Fhypr_1_dual,0.0,0.999951,4.9e-05,20.250489,20.250966
recomb81_Dterm_Fhypr_2,0.0,0.999947,5.3e-05,20.250533,20.251053
recomb81_Dterm_Fhypr_2_dual,0.0,0.999947,5.3e-05,20.250533,20.251053
recomb81_Dterm_Fhypr_3,0.0,0.999937,6.3e-05,20.25063,20.251244
recomb81_Dterm_Fhypr_3_dual,0.0,0.999937,6.3e-05,20.25063,20.251244
recomb81_Dterm_Fhypr_4,0.0,0.999949,5.1e-05,20.250514,20.251016
recomb81_Dterm_Fhypr_4_dual,0.0,0.999949,5.1e-05,20.250514,20.251016
recomb81_Dterm_Fhypr_5,0.0,0.999928,7.2e-05,20.250723,20.251427
recomb81_Dterm_Fhypr_5_dual,0.0,0.999928,7.2e-05,20.250723,20.251427
recomb81_Dterm_Fpalu_1,0.0,0.999966,3.4e-05,20.250336,20.250664
recomb81_Dterm_Fpalu_1_dual,0.0,0.999966,3.4e-05,20.250336,20.250664
recomb81_Dterm_Fpalu_2,0.0,0.999949,5.1e-05,20.250511,20.25101
recomb81_Dterm_Fpalu_2_dual,0.0,0.999949,5.1e-05,20.250511,20.25101
recomb81_Dterm_Fpalu_3,0.0,0.999975,2.5e-05,20.250245,20.250484
recomb81_Dterm_Fpalu_3_dual,0.0,0.999975,2.5e-05,20.250245,20.250484
recomb81_Dterm_Fpalu_4,0.0,0.999956,4.4e-05,20.250443,20.250876
recomb81_Dterm_Fpalu_4_dual,0.0,0.999956,4.4e-05,20.250443,20.250876
recomb81_Dterm_Fpalu_5,0.0,0.999931,6.9e-05,20.250687,20.251356
recomb81_Dterm_Fpalu_5_dual,0.0,0.999931,6.9e-05,20.250687,20.251356
recomb81_Dterm_Frand_1,0.0,0.999748,0.000252,20.252516,20.25497
recomb81_Dterm_Frand_1_dual,0.0,0.999748,0.000252,20.252516,20.25497
recomb81_Dterm_Frand_2,0.0,0.99966,0.00034,20.253402,20.256718
recomb81_Dterm_Frand_2_dual,0.0,0.99966,0.00034,20.253402,20.256718
recomb81_Dterm_Frand_3,0.0,0.999743,0.000257,20.252566,20.255067
recomb81_Dterm_Frand_3_dual,0.0,0.999743,0.000257,20.252566,20.255067
recomb81_Dterm_Frand_4,0.0,0.999732,0.000268,20.252679,20.255292
recomb81_Dterm_Frand_4_dual,0.0,0.999732,0.000268,20.252679,20.255292
recomb81_Dterm_Frand_5,0.0,0.999534,0.000466,20.25466,20.259203
recomb81_Dterm_Frand_5_dual,0.0,0.999534,0.000466,20.25466,20.259203
recomb81_Dterm_Fstrp_1,0.0,0.999568,0.000432,20.254325,20.258541
recomb81_Dterm_Fstrp_1_dual,0.0,0.999568,0.000432,20.254325,20.258541
recomb81_Dterm_Fstrp_2,0.0,0.999663,0.000337,20.253368,20.256651
recomb81_Dterm_Fstrp_2_dual,0.0,0.999663,0.000337,20.253368,20.256651
recomb81_Dterm_Fstrp_3,0.0,0.998945,0.001055,20.260551,20.27083
recomb81_Dterm_Fstrp_3_dual,0.0,0.998945,0.001055,20.260551,20.27083
recomb81_Dterm_Fstrp_4,0.0,0.999726,0.000274,20.252736,20.255405
recomb81_Dterm_Fstrp_4_dual,0.0,0.999726,0.000274,20.252736,20.255405
recomb81_Dterm_Fstrp_5,0.0,0.999371,0.000629,20.256289,20.262419
recomb81_Dterm_Fstrp_5_dual,0.0,0.999371,0.000629,20.256289,20.262419
rou12,0.0,0.889963,0.110037,3.157951,3.275093
rou12_dual,0.0,0.889963,0.110037,3.157951,3.275093
rou15,0.0,0.90287,0.09713,3.927096,4.065671
rou15_dual,0.0,0.90287,0.09713,3.927096,4.065671
rou20,0.0,0.860496,0.139504,5.353781,5.627766
rou20_dual,0.0,0.860496,0.139504,5.353781,5.627766
scr12,0.0,0.737312,0.262688,3.406782,3.656719
scr12_dual,0.0,0.737312,0.262688,3.406782,3.656719
scr15,0.0,0.723218,0.276782,4.302955,4.649541
scr15_dual,0.0,0.723218,0.276782,4.302955,4.649541
scr20,0.0,0.803356,0.196644,5.513572,5.884896
scr20_dual,0.0,0.803356,0.196644,5.513572,5.884896
sko100a,0.0,0.796524,0.203476,27.799712,29.985151
sko100a_dual,0.0,0.796524,0.203476,27.799712,29.985151
sko100b,0.0,0.776724,0.223276,28.106005,30.470264
sko100b_dual,0.0,0.776724,0.223276,28.106005,30.470264
sko100c,0.0,0.81315,0.18685,27.547648,29.577835
sko100c_dual,0.0,0.81315,0.18685,27.547648,29.577835
sko100d,0.0,0.813987,0.186013,27.535072,29.557318
sko100d_dual,0.0,0.813987,0.186013,27.535072,29.557318
sko100e,0.0,0.809659,0.190341,27.60019,29.663353
sko100e_dual,0.0,0.809659,0.190341,27.60019,29.663353
sko100f,0.0,0.826675,0.173325,27.345924,29.246455
sko100f_dual,0.0,0.826675,0.173325,27.345924,29.246455
sko42,0.0,0.812179,0.187821,11.55904,12.378211
sko42_dual,0.0,0.812179,0.187821,11.55904,12.378211
sko49,0.0,0.822906,0.177094,13.412932,14.330856
sko49_dual,0.0,0.822906,0.177094,13.412932,14.330856
sko56,0.0,0.791303,0.208697,15.598043,16.817416
sko56_dual,0.0,0.791303,0.208697,15.598043,16.817416
sko64,0.0,0.8254,0.1746,17.503829,18.7063
sko64_dual,0.0,0.8254,0.1746,17.503829,18.7063
sko72,0.0,0.803632,0.196368,19.929166,21.43644
sko72_dual,0.0,0.803632,0.196368,19.929166,21.43644
sko81,0.0,0.778268,0.221732,22.739529,24.62921
sko81_dual,0.0,0.778268,0.221732,22.739529,24.62921
sko90,0.0,0.794377,0.205623,25.046091,27.023702
sko90_dual,0.0,0.794377,0.205623,25.046091,27.023702
squares80_Ddrez_1,2e-06,0.972254,0.027744,20.277733,20.541011
squares80_Ddrez_10,1e-06,0.985081,0.014918,20.148383,20.290898
squares80_Ddrez_10_dual,1e-06,0.985081,0.014918,20.148383,20.290898
squares80_Ddrez_11,2e-06,0.982393,0.017605,20.175348,20.343303
squares80_Ddrez_11_dual,2e-06,0.982393,0.017605,20.175348,20.343303
squares80_Ddrez_12,2e-06,0.979687,0.020311,20.202566,20.396056
squares80_Ddrez_12_dual,2e-06,0.979687,0.020311,20.202566,20.396056
squares80_Ddrez_13,1e-06,0.989679,0.01032,20.102419,20.201247
squares80_Ddrez_13_dual,1e-06,0.989679,0.01032,20.102419,20.201247
squares80_Ddrez_14,2e-06,0.985774,0.014224,20.141429,20.277361
