base_scenario,islands_num,migration,migration_batch,migration_freq,probCXcrossover,probMutateInverse,probMutateShift,probMutateSwap,probNothing,probOXcrossover,probPMXcrossover,release,reproduction,succession
lipa30b,9.834171,Tournament,0.36596295,112.77606,0.15863599,0.07532174,0.13211793,0.2269533,0.115677655,0.061371792,0.22386828,Threshold,Tournament,SteadyState
lipa40a,5.943199,LinearRank,0.2696228,392.30984,0.38728383,0.026142841,0.04949182,0.05419553,0.008377257,0.1254266,0.3562406,Roulette,Threshold,NoElitism
lipa40b,9.626184,Threshold,0.384057,177.48235,0.031096255,0.1333616,0.17065206,0.3110953,0.057716783,0.09570166,0.2195161,LinearRank,NonlinearRank,Elitism
lipa50a,7.87057,NonlinearRank,0.07153399,19.727552,0.17373513,0.008351874,0.24910575,0.21441068,0.08307118,0.14915013,0.127774,Tournament,Tournament,NoElitism
lipa50b,7.884437,Threshold,0.25948524,23.43377,0.19361754,0.028501153,0.016274305,0.2367302,0.19374609,0.13001965,0.19458681,Tournament,Tournament,NoElitism
lipa60a,2.5901499,NonlinearRank,0.3214017,342.8207,0.2839196,0.043664336,0.026511867,0.25873962,0.19527207,0.1716171,0.02642462,Threshold,Threshold,NoElitism
lipa60b,4.210018,Tournament,0.38004622,227.854,0.0773124,0.02387609,0.1993743,0.21705447,0.18396214,0.17786707,0.12128498,NonlinearRank,Roulette,Elitism
lipa70a,8.768415,Threshold,0.1132597,116.679054,0.24169333,0.03651193,0.032171335,0.31237185,0.08515915,0.14811778,0.15863097,Tournament,Tournament,SteadyState
lipa70b,3.268502,Tournament,0.19652435,83.25129,0.12944716,0.17058645,0.19696978,0.19552086,0.08877104,0.21631032,0.015883949,NonlinearRank,Tournament,NoElitism
lipa80a,3.2833576,Threshold,0.28688353,118.30278,0.21610613,0.049006518,0.0040983628,0.2060519,0.24981627,0.10531225,0.16561761,LinearRank,Threshold,NoElitism
lipa80b,9.712415,Threshold,0.22260252,20.769876,0.23353156,0.057246797,0.018251892,0.20553681,0.23316994,0.019056806,0.22176956,Tournament,Tournament,NoElitism
lipa90a,9.680147,LinearRank,0.118512176,28.624731,0.06254385,0.06814224,0.11999547,0.23197444,0.22571625,0.11081751,0.17343426,Threshold,Tournament,NoElitism
lipa90b,6.0880427,Threshold,0.31451818,326.3941,0.3652764,0.026329493,0.020302135,0.29493564,0.05887568,0.111539334,0.1574379,Threshold,Tournament,NoElitism
nug12,3.177188,Threshold,0.047724754,282.89713,0.07618265,0.12675129,0.18877663,0.13327108,0.20885143,0.026237497,0.2135405,Tournament,Threshold,NoElitism
nug14,5.9841948,LinearRank,0.37044352,374.46057,0.33961716,0.22205842,0.07960178,0.19203918,0.123421095,0.01724814,0.027125796,NonlinearRank,Threshold,NoElitism
nug15,6.8745866,LinearRank,0.3975505,459.34955,0.16419317,0.03987341,0.39329198,0.35461017,0.009445175,0.006298788,0.03952979,NonlinearRank,Tournament,NoElitism
nug16a,3.213484,Threshold,0.36102635,270.00995,0.22821984,0.20360427,0.025810132,0.119142085,0.0925058,0.17399575,0.16013129,Roulette,Threshold,NoElitism
nug16b,2.2423394,Roulette,0.07137306,252.35857,0.30424625,0.123419784,0.05123159,0.022778325,0.20939249,0.034915887,0.24187425,Tournament,Threshold,NoElitism
nug17,5.945807,Threshold,0.099244766,266.60477,0.26457772,0.035454553,0.12852904,0.2711326,0.02242642,0.12547728,0.1754154,Threshold,Threshold,NoElitism
nug18,5.0971346,Roulette,0.052099008,142.60712,-0.0005555061,0.20958468,0.39029726,0.11008782,0.1497843,0.027591702,0.10238148,Threshold,Tournament,NoElitism
nug20,9.620494,Roulette,0.14121029,170.62898,0.08763061,0.21982554,0.26799142,0.16245472,0.05688242,0.013492435,0.20921463,Threshold,Roulette,SteadyState
nug22,7.664294,LinearRank,0.042596206,255.29501,0.21018387,0.047782652,0.21905066,0.29844,0.015091779,0.049625993,0.18032211,LinearRank,Tournament,NoElitism
nug24,3.1263475,Threshold,0.030255135,197.1939,0.29575574,0.07229611,0.22218615,0.11896199,0.050098576,0.025696434,0.22597462,LinearRank,Threshold,NoElitism
nug25,2.1785066,Roulette,0.37993655,460.90103,0.26634786,0.07868586,0.02700057,0.19061796,0.20757481,0.054422945,0.16647024,Roulette,Threshold,NoElitism
nug27,3.136133,Roulette,0.09526324,86.5957,0.20342503,0.049835324,0.03930898,0.21235412,0.16740523,0.056909706,0.273759,Threshold,Threshold,NoElitism
nug28,3.0844572,Tournament,0.34597337,420.20343,0.24982753,0.15575708,0.02978292,0.12391525,0.13837415,0.0266147,0.2767994,Threshold,Threshold,NoElitism
nug30,7.767565,Threshold,0.38494083,136.91798,0.16341612,0.0063479207,0.050606295,0.23949891,0.24703632,0.24337362,0.05274632,Threshold,Tournament,NoElitism
qapsatE100_1,6.787307,Tournament,0.2623718,328.9475,0.22939324,0.07611571,0.089593716,0.18106858,0.16021916,0.08578556,0.16419245,LinearRank,Tournament,NoElitism
qapsatE105_1,2.2786546,Roulette,0.1530517,345.76624,0.013328208,0.21272813,0.062426973,0.22157578,0.102341704,0.24222286,0.1519715,Threshold,Tournament,NoElitism
qapsatE110_1,2.322834,Tournament,0.3104013,230.37,0.34297717,0.023976732,0.06336431,0.06960103,0.16123214,0.02140568,0.30445424,LinearRank,Threshold,NoElitism
qapsatE115_1,6.8881593,Roulette,0.088481076,41.539104,0.22281997,0.2189984,0.1748084,0.19576873,0.008609641,0.14281017,0.045405433,Tournament,Tournament,SteadyState
qapsatE120_1,6.957628,LinearRank,0.24979073,392.76498,0.0033151505,0.24274856,0.010555739,0.3882043,0.07487814,0.010283275,0.30912316,Roulette,Tournament,SteadyState
qapsatE25_1,2.9316425,NonlinearRank,0.38426337,385.01578,0.2211976,0.22302267,0.049048264,0.0602295,0.19669814,0.008085695,0.22744198,Threshold,Threshold,NoElitism
qapsatE30_1,8.7448225,NonlinearRank,0.24272461,361.36575,0.2080325,0.039358,0.10008966,0.34176287,0.23203588,0.0051800837,0.058558874,Threshold,Tournament,NoElitism
qapsatE35_1,2.2292395,NonlinearRank,0.24765347,33.853806,0.2472832,0.06357892,0.341359,0.2161286,0.032350898,0.0031903004,0.14912699,Tournament,Tournament,NoElitism
qapsatE45_1,9.86295,Tournament,0.15000202,408.77014,0.19346158,0.0749631,0.21939646,0.19534947,0.104658425,0.0053125713,0.2204275,Tournament,NonlinearRank,Elitism
qapsatE55_1,9.770119,Threshold,0.38397428,191.88362,0.012266425,0.027275022,0.22674921,0.3709967,0.2297701,0.13900197,0.020829113,LinearRank,Tournament,NoElitism
qapsatE60_1,9.865088,Tournament,0.36067864,25.515467,0.17752832,0.1271368,0.14156845,0.17275113,0.17758206,0.031553783,0.16589628,LinearRank,Tournament,NoElitism
qapsatE65_1,4.2345967,Roulette,0.15780424,204.88213,0.24221903,0.02423155,0.058020238,0.19038062,0.21830304,0.09418794,0.16539006,NonlinearRank,Threshold,NoElitism
qapsatE75_1,7.9092712,Threshold,0.33748427,496.47586,0.03328692,0.13081476,0.23621128,0.20118158,0.15947053,0.20204322,0.039770395,Threshold,NonlinearRank,Elitism
qapsatE80_1,9.740531,Tournament,0.363241,113.86929,0.1653678,0.075374454,0.131138,0.22634116,0.117759116,0.059978675,0.2254994,Threshold,Tournament,SteadyState
qapsatE85_1,4.2138906,Tournament,0.29264668,90.48976,0.09201924,0.14630757,0.17149895,0.21252622,0.026695896,0.22719727,0.14137249,Threshold,Tournament,NoElitism
qapsatE90_1,4.2559876,Tournament,0.17400937,47.120544,0.19384529,0.18949986,0.2033929,0.20464215,0.007840472,0.119667284,0.090545,Tournament,Tournament,NoElitism
qapsatE95_1,7.8782077,Tournament,0.26770663,239.71796,0.23454502,0.017868333,0.09374699,0.56256515,0.03746859,0.069823146,0.0092204,Tournament,Tournament,SteadyState
qapsatH100_1,4.167559,Threshold,0.2149084,32.99029,0.19086523,0.027560307,0.015065273,0.2166394,0.22515768,0.11839462,0.20249751,Tournament,Tournament,NoElitism
qapsatH105_1,6.0990844,Threshold,0.2452457,468.34708,0.21917439,0.0009565851,0.2966574,0.2583068,0.09550147,0.14342022,0.012798884,Tournament,Tournament,NoElitism
qapsatH110_1,8.921859,NonlinearRank,0.19519138,42.858932,0.053288244,0.15726034,0.12929295,0.22082305,0.069557376,0.22937271,0.1548552,Tournament,Tournament,NoElitism
qapsatH115_1,7.930194,LinearRank,0.29363576,360.82434,0.02589925,0.061565574,0.19793913,0.4053951,0.23396635,0.09008574,0.009140943,Threshold,Tournament,NoElitism
qapsatH120_1,7.937778,Threshold,0.38995183,36.01512,0.0125230085,0.11102598,0.17252673,0.19333288,0.152437,0.20111702,0.16604237,NonlinearRank,Tournament,NoElitism
qapsatH25_1,2.111109,Threshold,0.08794527,469.69604,0.13845277,0.055745088,0.14050637,0.09800831,0.25807995,0.0104039265,0.27416494,Roulette,Threshold,NoElitism
qapsatH30_1,2.0712585,Tournament,0.031807475,491.6172,0.39934883,0.026144115,0.00591336,0.11125173,0.013476336,0.032908447,0.41432926,NonlinearRank,Threshold,NoElitism
qapsatH35_1,2.0268524,Roulette,0.37289113,165.97362,0.28811762,0.008255236,0.104928456,0.122880444,0.14349131,0.11423379,0.22943579,Tournament,Threshold,NoElitism
qapsatH40_1,2.0336308,Roulette,0.21837822,117.9188,0.2077753,0.1372433,0.026989946,0.26109824,0.22497328,0.02775184,0.10262641,Tournament,Threshold,NoElitism
qapsatH50_1,2.138679,Roulette,0.13032742,477.86243,0.21009323,0.089442514,0.05837331,0.17583607,0.2025468,0.05770054,0.1962885,NonlinearRank,Threshold,NoElitism
qapsatH60_1,2.212624,Tournament,0.04695781,400.1574,0.3657012,0.09810106,0.15206695,0.22374825,0.09284823,0.0056955223,0.065854765,NonlinearRank,Threshold,NoElitism
qapsatH65_1,3.2185886,LinearRank,0.32976332,98.921585,0.04454359,0.051532764,0.22925285,0.29533634,0.039211903,0.2465796,0.11678243,LinearRank,Threshold,Elitism
qapsatH70_1,9.63706,Tournament,0.3642914,113.80555,0.15965813,0.074871264,0.13435583,0.226703,0.11828828,0.06382379,0.22367282,Threshold,Tournament,SteadyState
qapsatH80_1,2.2308373,Tournament,0.025382865,74.73521,0.29131716,0.1247557,0.0076613287,0.066168204,0.2046342,0.00255011,0.30460146,Threshold,Threshold,NoElitism
qapsatH85_1,9.810564,Tournament,0.13706335,32.484608,0.0108409505,0.050353933,0.08705625,0.3251467,0.18692726,0.24970843,0.10365308,Tournament,Tournament,NoElitism
qapsatH90_1,2.2643008,Roulette,0.11736694,24.478088,0.20359614,0.17363247,0.18338981,0.20250688,0.011213096,0.106795914,0.13709337,Tournament,Tournament,NoElitism
qapsatH95_1,9.755246,Tournament,0.094645895,32.37736,0.19793254,0.24607643,0.09241088,0.23034,0.13331342,0.08658703,0.009250036,Threshold,Tournament,SteadyState
recomb80_Ddrez_Fpalu_1,2.0298927,Threshold,0.048328783,24.800192,0.17721541,0.14574808,0.0014877433,0.1547837,0.21823002,0.18352342,0.11646056,Tournament,Threshold,NoElitism
recomb80_Ddrez_Fpalu_2,2.110661,Tournament,0.15721141,57.370125,0.3709893,0.006624238,0.01721661,0.22850181,0.030519042,0.027454372,0.3308973,Threshold,Threshold,NoElitism
recomb80_Ddrez_Fpalu_3,2.0145435,Tournament,0.28925723,67.40432,0.22736183,0.0947106,0.0069813016,0.18970428,0.20321561,0.07097496,0.19884315,Tournament,Threshold,NoElitism
recomb80_Ddrez_Fpalu_4,2.023424,Threshold,0.27479917,107.10818,0.2847741,0.04042808,0.042012263,0.20992456,0.08993843,0.0728673,0.26666775,Tournament,Threshold,NoElitism
recomb80_Ddrez_Fpalu_5,6.8051662,Threshold,0.22818427,63.871574,-0.0008208324,0.21727768,0.105051,0.31055045,0.07202162,0.023435706,0.27677247,Tournament,Tournament,SteadyState
recomb80_Ddrez_Frand_1,6.080849,Threshold,0.033133112,310.4239,0.15672702,0.036833726,0.18990605,0.30341795,0.01697593,0.09610533,0.2216977,Tournament,Tournament,NoElitism
recomb80_Ddrez_Frand_2,5.156983,Tournament,0.07369997,29.63728,0.22486691,0.18528824,0.19411407,0.19368178,0.010544778,0.117557965,0.081288755,Tournament,Tournament,NoElitism
recomb80_Ddrez_Frand_3,9.786602,Roulette,0.30653185,31.562304,0.004236182,0.14883621,0.08759192,0.4606426,0.16823693,0.015841765,0.12324171,Threshold,Tournament,NoElitism
recomb80_Ddrez_Frand_4,6.9634714,Roulette,0.24619669,25.67038,0.10492131,0.010337551,0.03491226,0.37635732,0.3321049,0.113985054,0.025648866,Threshold,Tournament,NoElitism
recomb80_Ddrez_Frand_5,7.9267793,NonlinearRank,0.30247006,48.980957,0.1974435,0.020272998,0.08212385,0.29988763,0.18021442,0.0029889622,0.20930623,Threshold,Tournament,NoElitism
recomb80_Ddrez_Fstrp_1,9.639568,Tournament,0.31458113,239.13023,0.06412944,0.024506817,0.40548337,0.4620816,0.05771369,0.0062098536,0.019095767,LinearRank,NonlinearRank,Elitism
recomb80_Ddrez_Fstrp_2,6.8373756,Roulette,0.09619035,62.32686,0.062058385,0.11847857,0.19387732,0.29990518,0.11406413,0.020976186,0.18809555,Tournament,Tournament,NoElitism
recomb80_Ddrez_Fstrp_3,9.796494,LinearRank,0.3053541,19.88936,0.014082188,0.27558324,0.10219841,0.29278904,0.13672562,0.09367159,0.07656913,Threshold,Tournament,NoElitism
recomb80_Ddrez_Fstrp_5,4.237378,NonlinearRank,0.050083015,468.1819,0.07118102,0.31758156,0.22389849,0.28085336,0.049403194,0.06944476,-0.00016582571,Threshold,NonlinearRank,Elitism
recomb80_Dmanh_Fpalu_1,4.2621417,Roulette,0.3871863,357.29904,0.020573264,0.038943823,0.13623264,0.27355367,0.11684522,0.36850494,0.04494119,Threshold,Tournament,NoElitism
recomb80_Dmanh_Fpalu_2,5.024138,NonlinearRank,0.10344759,57.423073,0.11488078,0.09729152,0.09956036,0.19002579,0.2264746,0.20576446,0.05580255,Tournament,Tournament,NoElitism
recomb80_Dmanh_Fpalu_3,5.984285,Threshold,0.3763729,39.909634,0.028123278,0.07109391,0.18454733,0.51251245,0.014880654,0.0001732115,0.23375137,Tournament,Tournament,SteadyState
recomb80_Dmanh_Fpalu_4,4.2068386,LinearRank,0.33968213,37.60658,0.11033411,0.28291604,0.14593163,0.25905815,0.08099819,0.013248117,0.109116815,Tournament,Tournament,NoElitism
recomb80_Dmanh_Fpalu_5,8.888678,Tournament,0.28264424,20.496899,0.13349105,0.0004843765,0.09417935,0.30305764,0.24926332,0.14200261,0.074644566,Threshold,Tournament,SteadyState
recomb81_Deucl_Fhypr_1,8.861524,NonlinearRank,0.27222633,464.7122,0.009770866,0.27121317,0.18672952,0.26420552,0.033693805,0.18612503,0.06254962,Roulette,NonlinearRank,Elitism
recomb81_Deucl_Fhypr_2,9.613751,Tournament,0.050225344,69.9657,0.18874031,0.07618428,0.21665397,0.14153455,0.13980296,0.2159213,0.029793626,Tournament,Tournament,SteadyState
recomb81_Deucl_Fhypr_3,9.737822,Roulette,0.23178661,442.09195,0.14024918,0.023293898,0.1467301,0.24379966,0.28373972,-0.0018907206,0.15005615,NonlinearRank,Tournament,NoElitism
recomb81_Deucl_Fhypr_4,9.837852,Tournament,0.042447075,73.69981,0.22215056,0.1782878,0.07418116,0.10911392,0.08355741,0.32773486,0.02098339,Tournament,Tournament,NoElitism
recomb81_Deucl_Fhypr_5,5.1806817,LinearRank,0.052217558,482.5032,0.14317004,0.034418397,0.038336657,0.19463868,0.1348321,0.055782307,0.3908047,Tournament,Threshold,NoElitism
recomb81_Deucl_Fpalu_1,2.2113404,Threshold,0.33339924,448.3287,0.2589947,0.052226577,0.026979256,0.17916955,0.21884033,0.029602045,0.22603436,LinearRank,Threshold,NoElitism
recomb81_Deucl_Fpalu_2,7.027286,Threshold,0.18298927,364.1081,0.091105,0.22332886,0.19631405,0.1882383,0.10213295,0.023279794,0.16938658,Tournament,Tournament,NoElitism
recomb81_Deucl_Fpalu_3,8.871173,LinearRank,0.349472,300.8417,0.15424341,0.10998408,0.03841135,0.21950974,0.10144888,0.2793883,0.11474622,Tournament,Tournament,SteadyState
recomb81_Deucl_Fpalu_4,7.860905,Roulette,0.08190162,53.572983,0.22655322,0.04370577,0.0024581016,0.2929196,0.110124715,0.1845114,0.15945779,Tournament,Tournament,SteadyState
recomb81_Deucl_Fterm_1,2.1069255,Roulette,0.31203166,285.86917,0.14598124,0.03290462,0.104193866,0.16654375,0.07955876,0.23466301,0.24249879,Roulette,Threshold,NoElitism
recomb81_Deucl_Fterm_2,2.0960293,LinearRank,0.06372163,488.42447,0.16073683,0.10668741,0.0979721,0.09736792,0.22358535,0.0234031,0.26025656,Threshold,Threshold,NoElitism
recomb81_Deucl_Fterm_3,2.1451788,NonlinearRank,0.36697954,446.59024,0.30611143,0.1182586,0.04599413,0.17781445,0.037744768,0.08224532,0.24350914,NonlinearRank,Threshold,NoElitism
recomb81_Deucl_Fterm_4,2.1417942,Roulette,0.20968921,468.91214,0.3216287,0.01739604,0.2234366,0.08148661,0.007884008,0.021745993,0.32333758,LinearRank,Threshold,NoElitism
recomb81_Deucl_Fterm_5,3.977389,Roulette,0.33280984,164.39772,0.21293779,0.011120074,0.037525777,0.17911857,0.099720195,0.09210346,0.36601487,NonlinearRank,Threshold,NoElitism
recomb81_Dhypr_Fpalu_1,9.423607,Threshold,0.09667378,23.618011,0.073489085,0.06733162,0.35164413,0.3287958,0.2194023,-0.0018269847,0.017359747,Threshold,Tournament,NoElitism
recomb81_Dhypr_Fpalu_2,4.22482,Threshold,0.062879816,23.615946,0.004679487,-1.0794965e-05,0.390749,0.5033006,0.04857283,0.041785646,0.023650082,Roulette,NonlinearRank,Elitism
recomb81_Dhypr_Fpalu_3,7.8145633,Roulette,0.28771317,19.963526,0.060357064,0.10491905,0.053962067,0.48763242,0.14005852,0.11960811,0.047466576,Threshold,Tournament,SteadyState
recomb81_Dhypr_Fpalu_4,3.6538196,LinearRank,0.084581174,309.86758,0.21191752,0.18282917,0.08624617,0.15769117,0.03810197,0.19586496,0.14843635,Tournament,Tournament,NoElitism
recomb81_Dhypr_Fpalu_5,5.1384544,LinearRank,0.3323145,34.90905,0.15659015,0.13467118,0.1809029,0.15358675,0.15412614,0.06835432,0.15113021,Tournament,Tournament,NoElitism
recomb81_Dhypr_Frand_1,6.935619,Threshold,0.18531208,369.3985,0.0896488,0.22451234,0.19461244,0.18949907,0.10118409,0.021910585,0.17119601,Tournament,Tournament,NoElitism
recomb81_Dhypr_Frand_2,6.0472217,LinearRank,0.110567726,59.312454,0.12902133,0.0051991236,0.01153336,0.23003124,0.11514914,0.33257848,0.1943056,Roulette,NonlinearRank,Elitism
recomb81_Dhypr_Frand_3,6.05076,LinearRank,0.049679507,23.79436,0.2796668,0.14866468,0.21602511,0.22555164,0.048069105,0.068690866,0.025578046,Tournament,Tournament,NoElitism
recomb81_Dhypr_Fstrp_1,6.941777,LinearRank,0.3287077,22.675346,0.23107287,0.014459152,0.35621628,0.16710335,0.04340014,0.2528778,5.6997655e-05,Tournament,Tournament,NoElitism
recomb81_Dhypr_Fstrp_3,2.2777889,Threshold,0.3958983,392.62094,0.23771925,0.0925213,0.08054312,0.16225615,0.13494241,0.05613743,0.22615881,Threshold,Threshold,NoElitism
recomb81_Dhypr_Fstrp_4,9.61172,Threshold,0.28077736,22.649845,0.12403607,0.18827002,0.15517187,0.16730207,0.17526221,0.16764992,0.011058614,Threshold,Tournament,NoElitism
recomb81_Dhypr_Fstrp_5,2.2914371,Tournament,0.3187463,138.2535,0.30426842,0.0025735213,0.09559331,0.19503924,0.03605164,0.16020286,0.22127894,NonlinearRank,Threshold,NoElitism
recomb81_Dhypr_Fterm_1,5.078928,Threshold,0.020160336,24.588797,0.22823393,0.17884608,0.284413,0.21147992,0.030714381,0.106280476,0.00042366947,Threshold,Tournament,NoElitism
recomb81_Dhypr_Fterm_2,9.600973,Tournament,0.2147341,42.26404,0.07475878,0.18002976,0.11951503,0.23380457,0.055717394,0.19259146,0.1564749,Tournament,Tournament,NoElitism
recomb81_Dhypr_Fterm_3,8.864566,Tournament,0.07804347,21.05284,0.21195427,0.17070404,0.23958896,0.18335456,0.12390268,0.079654686,0.0069893366,Roulette,Tournament,SteadyState
recomb81_Dhypr_Fterm_4,2.269984,Roulette,0.39873105,26.262062,0.17316058,0.03624724,0.11581116,0.14500718,0.1983117,0.029468132,0.30040383,Threshold,Threshold,NoElitism
recomb81_Dhypr_Fterm_5,3.258385,Tournament,0.06055366,488.8839,0.13142736,0.052717302,0.15061276,0.12764445,0.23557624,0.029428832,0.25378805,Roulette,Threshold,NoElitism
recomb81_Dpalu_Fhypr_1,2.2305274,LinearRank,0.19513223,308.00046,0.042241666,0.048584633,0.1164848,0.122813,0.09341221,0.3113941,0.27001637,Roulette,Threshold,NoElitism
recomb81_Dpalu_Fhypr_2,2.133487,Roulette,0.3628757,485.2979,0.228953,0.08786703,0.07543679,0.18967602,0.06970459,0.16274293,0.18633355,Tournament,Threshold,NoElitism
recomb81_Dpalu_Frand_1,2.111663,Threshold,0.35230556,21.360102,0.2732445,0.09359927,0.035497505,0.1849005,0.012524852,0.2608598,0.16637115,Roulette,Threshold,NoElitism
recomb81_Dpalu_Frand_2,2.19803,Tournament,0.09590414,477.9658,0.16430125,0.060892347,0.10357796,0.22196339,0.12938167,0.08934693,0.22255033,LinearRank,Threshold,NoElitism
recomb81_Dpalu_Frand_3,9.641255,Tournament,0.06426149,26.387909,0.20420481,0.0028273652,0.19600262,0.20256867,0.09922035,0.061220538,0.23921739,Tournament,Tournament,SteadyState
recomb81_Dpalu_Frand_5,2.075969,Tournament,0.036492176,117.905,0.17305918,0.069006346,0.06206038,0.19237098,0.13379057,0.13573287,0.22776845,NonlinearRank,Threshold,NoElitism
recomb81_Dpalu_Fstrp_1,2.1841185,LinearRank,0.13736433,454.14276,0.28816783,0.083283395,0.014582406,0.2529928,0.10382565,0.25700778,0.023919743,Roulette,Threshold,NoElitism
recomb81_Dpalu_Fstrp_2,2.1115696,Roulette,0.33752784,129.63008,0.20764713,0.1766112,0.0726995,0.12500873,0.12548189,0.14077076,0.14752614,NonlinearRank,Threshold,NoElitism
recomb81_Dpalu_Fstrp_3,9.632916,Tournament,0.39002883,110.029976,0.13673638,0.080058016,0.16371363,0.24789572,0.06535481,0.0665851,0.24050978,Tournament,Tournament,SteadyState
recomb81_Dpalu_Fstrp_4,3.0233934,Threshold,0.36066866,495.7346,0.23861845,0.12617801,0.07758329,0.12617932,0.116717316,0.098705,0.21529174,Roulette,Threshold,NoElitism
recomb81_Dpalu_Fstrp_5,2.2364411,NonlinearRank,0.32383725,48.361946,0.22464082,0.22065105,0.016162282,0.14854641,0.06027755,0.06670876,0.2626253,Threshold,Threshold,NoElitism
recomb81_Dpalu_Fterm_1,2.009416,NonlinearRank,0.22099052,407.1907,0.23359714,0.119561106,0.013381929,0.18070252,0.049467783,0.2041679,0.21297048,NonlinearRank,Threshold,NoElitism
recomb81_Dpalu_Fterm_2,2.0386157,Tournament,0.3534647,488.16272,0.28795364,0.150294,0.094323255,0.19392899,0.016792469,0.0009190573,0.2770199,NonlinearRank,Threshold,NoElitism
recomb81_Dpalu_Fterm_4,2.0554385,Tournament,0.34366682,480.31042,0.23173034,0.24284774,0.016709257,0.08021027,0.14462525,0.014452914,0.24593306,Tournament,Threshold,NoElitism
recomb81_Dpalu_Fterm_5,2.0164566,LinearRank,0.124296956,386.11765,0.23000006,0.21018061,0.03513232,0.12615658,0.09785569,0.060825687,0.23099455,NonlinearRank,Threshold,NoElitism
recomb81_Drand_Fhypr_1,3.1698053,LinearRank,0.2640254,357.02954,0.10420409,0.2692157,0.062912814,0.17771526,0.090639755,0.01751502,0.26662996,LinearRank,Tournament,NoElitism
recomb81_Drand_Fhypr_2,7.8297167,Roulette,0.29614896,325.10626,0.021420814,0.06596372,0.16905618,0.3199393,0.24336088,0.12629332,0.03884398,Threshold,Tournament,NoElitism
recomb81_Drand_Fhypr_3,7.832162,Threshold,0.3203608,59.021248,0.250249,0.2184543,0.0003434772,0.21012968,0.13665324,0.17356302,0.013506498,Tournament,Tournament,NoElitism
recomb81_Drand_Fhypr_4,8.831661,Tournament,0.39696148,26.021397,0.23719835,0.15948625,0.062784664,0.4447126,0.035977,0.043968905,0.051873878,Tournament,Tournament,NoElitism
recomb81_Drand_Fhypr_5,3.184412,Threshold,0.04792822,488.144,0.21075667,0.046919078,0.17541397,0.24087049,0.0141073475,0.08289413,0.23871164,Tournament,Tournament,NoElitism
recomb81_Drand_Fpalu_1,7.558019,NonlinearRank,0.1076776,37.94106,0.28701803,0.0055216243,0.026942408,0.3591394,0.07626764,0.049496006,0.2098431,Threshold,Tournament,NoElitism
recomb81_Drand_Fpalu_2,5.794623,Threshold,0.07516141,42.289845,0.22402953,0.13014407,0.2765962,0.21583106,0.010903135,0.13017602,0.044083178,Tournament,Tournament,NoElitism
recomb81_Drand_Fpalu_3,2.0711045,Roulette,0.06577438,486.16055,0.18899399,0.016945079,0.12789975,0.14775026,0.24602476,0.026432885,0.2315472,Threshold,Threshold,NoElitism
recomb81_Drand_Fpalu_4,2.555463,Tournament,0.36949682,230.91217,0.25249514,0.0805131,0.015891012,0.13850819,0.16064547,0.058099646,0.2989726,NonlinearRank,Threshold,NoElitism
recomb81_Drand_Fpalu_5,2.0934062,Tournament,0.14503354,37.22874,0.38099918,0.10581275,0.019068196,0.12669462,0.054938365,0.049700484,0.27337232,Threshold,Threshold,NoElitism
recomb81_Drand_Fstrp_1,5.995744,Tournament,0.263307,28.162807,0.3106773,0.09557857,0.0016797727,0.31240016,0.034971517,0.22004418,0.0495388,Threshold,Tournament,SteadyState
recomb81_Drand_Fstrp_2,6.046606,Threshold,0.20406325,115.34028,0.20941433,0.02230043,0.017276762,0.20504574,0.20285778,0.13076302,0.20647635,Tournament,Tournament,NoElitism
recomb81_Drand_Fstrp_3,6.9202533,Tournament,0.23644501,55.215374,0.06711125,0.14690685,0.17634015,0.23041706,0.018312179,0.23231786,0.1467353,Threshold,Tournament,NoElitism
recomb81_Drand_Fstrp_4,4.1354084,Threshold,0.36317468,474.49536,0.11421726,0.22390707,0.0506115,0.20679666,0.126481,0.12714522,0.13640234,NonlinearRank,NonlinearRank,Elitism
recomb81_Drand_Fstrp_5,6.962648,LinearRank,0.3004998,491.26642,0.02865046,0.29084486,0.11126283,0.36234114,0.021604614,0.12858473,0.07773109,Threshold,NonlinearRank,Elitism
recomb81_Drand_Fterm_1,7.906741,Tournament,0.26856178,64.34556,0.07595268,0.14651075,0.1596219,0.21268891,0.038423467,0.22179823,0.14380077,Threshold,Tournament,NoElitism
recomb81_Drand_Fterm_3,7.038563,LinearRank,0.06947669,30.608963,0.05806261,0.029474214,0.40363252,0.47230428,0.010358118,0.04773965,0.022098303,LinearRank,NonlinearRank,Elitism
recomb81_Drand_Fterm_4,7.867258,Threshold,0.3162471,263.26227,0.04398666,0.036919393,0.12046164,0.6318762,0.063637584,0.06462399,0.030068504,Threshold,Tournament,NoElitism
recomb81_Drand_Fterm_5,7.0051513,NonlinearRank,0.24829558,65.78585,0.0472597,0.14771451,0.16308878,0.21639417,0.040505614,0.22786535,0.15083328,Tournament,Tournament,NoElitism
recomb81_Dterm_Fhypr_1,1.9989119,NonlinearRank,0.12333361,221.44571,0.1463901,0.06635932,0.016975952,0.19205661,0.18406034,0.15085436,0.23312986,NonlinearRank,Threshold,NoElitism
recomb81_Dterm_Fhypr_2,2.03342,Tournament,0.2237246,494.1397,0.23935114,0.0068376996,0.041464236,0.120800555,0.14215249,0.23769233,0.21007732,Threshold,Threshold,NoElitism
